nm;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
301;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
302;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
303;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
304;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
305;0,431213;0,508423;0,552368;0,575562;0,912476;0,611877;0,614929;0,610657;0,56427;0,535583;0,468445;0,286255;0,258484;0,312805;0,243835;0,241699;0,0494385;0,136414;0,157166
306;0,509644;0,570374;0,61615;0,640869;0,898438;0,674133;0,689392;0,657349;0,620728;0,555725;0,498047;0,299377;0,263977;0,313416;0,255737;0,264587;0,0396729;0,148926;0,133362
307;0,592346;0,657654;0,66864;0,713806;0,887756;0,748901;0,747375;0,730286;0,688782;0,608826;0,527954;0,330505;0,284119;0,321655;0,286255;0,286255;0,0326538;0,179138;0,116882
308;0,685425;0,742798;0,770264;0,778809;0,897217;0,822449;0,824585;0,793457;0,753784;0,670166;0,564575;0,341492;0,307617;0,345154;0,297852;0,297546;0,0299072;0,202637;0,108643
309;0,771484;0,835571;0,838013;0,825806;0,968018;0,881958;0,884399;0,882263;0,814209;0,724182;0,63446;0,386658;0,346375;0,365601;0,32959;0,340271;0,0317383;0,240173;0,0979614
310;0,834045;0,91095;0,904846;0,931396;1,03851;0,979614;0,958557;0,942078;0,916443;0,791016;0,692139;0,424194;0,393982;0,407715;0,382996;0,368042;0,0262451;0,270081;0,0921631
311;0,910034;0,987549;0,999146;1,01257;1,11206;1,05835;1,07056;1,03363;0,975342;0,839539;0,739746;0,479126;0,432129;0,450134;0,412598;0,426941;0,027771;0,310669;0,0909424
312;0,995178;1,05927;1,09833;1,10565;1,17004;1,12976;1,13007;1,11938;1,04919;0,928345;0,838623;0,544128;0,476074;0,494385;0,479736;0,484009;0,0253296;0,354919;0,0817871
313;1,10779;1,15448;1,18896;1,18408;1,27838;1,19507;1,22253;1,20758;1,1731;0,996094;0,903015;0,589294;0,553284;0,552673;0,534058;0,549622;0,0247192;0,403137;0,0717163
314;1,18927;1,24237;1,28387;1,26373;1,37573;1,33087;1,34644;1,29364;1,22772;1,0733;1,00311;0,65094;0,606079;0,631714;0,617676;0,596008;0,0271606;0,462952;0,0744629
315;1,26984;1,33453;1,36749;1,37451;1,46851;1,44012;1,41266;1,40228;1,32355;1,17065;1,06781;0,74585;0,693665;0,705566;0,684204;0,690308;0,0262451;0,521851;0,0622559
316;1,35742;1,4267;1,4444;1,49048;1,54327;1,52374;1,52191;1,51093;1,40717;1,2558;1,1499;0,804138;0,774231;0,778198;0,764465;0,767212;0,0274658;0,589905;0,0567627
317;1,46149;1,52924;1,57318;1,56494;1,62659;1,6333;1,61865;1,61621;1,54327;1,33331;1,27228;0,892639;0,857239;0,874939;0,852356;0,861206;0,0286865;0,648499;0,0613403
318;1,56555;1,65009;1,66931;1,68549;1,75629;1,75079;1,72485;1,70868;1,63361;1,43707;1,34766;0,965881;0,957642;0,956421;0,950317;0,95459;0,0305176;0,740356;0,0576782
319;1,63788;1,77155;1,75995;1,75415;1,84723;1,82068;1,84601;1,79565;1,75385;1,55731;1,474;1,0733;1,02905;1,0553;1,04462;1,0614;0,0271606;0,806885;0,0643921
320;1,79199;1,84357;1,91589;1,86005;1,93359;1,92383;1,94214;1,91772;1,83655;1,67786;1,57104;1,17157;1,13251;1,17432;1,12579;1,15936;0,0308228;0,907593;0,0601196
321;1,88293;1,96411;1,97815;1,97632;2,05994;2,04437;2,04071;2,04102;1,95129;1,80054;1,66443;1,30798;1,2616;1,2738;1,26099;1,2735;0,0369263;1,02295;0,0637817
322;1,99432;2,0816;2,0752;2,10205;2,15118;2,14355;2,16949;2,11853;2,0752;1,87256;1,79382;1,38489;1,36353;1,41083;1,36414;1,37756;0,0375366;1,10657;0,0686646
323;2,0816;2,16675;2,15973;2,18323;2,23663;2,24548;2,2348;2,20551;2,18231;1,99402;1,92444;1,50665;1,49719;1,52679;1,50269;1,50848;0,0482178;1,2326;0,0823975
324;2,19452;2,27203;2,2403;2,26654;2,32605;2,35291;2,31293;2,35535;2,28424;2,09045;2,05078;1,62018;1,62231;1,66046;1,60645;1,6333;0,0656128;1,31744;0,0967407
325;2,24976;2,35657;2,35748;2,34131;2,40387;2,41852;2,46948;2,45758;2,36908;2,22168;2,17285;1,77338;1,73553;1,79718;1,78253;1,81458;0,0814819;1,47095;0,126648
326;2,39471;2,46826;2,4765;2,49023;2,52411;2,53632;2,57965;2,55463;2,51648;2,3642;2,30621;1,8811;1,9043;1,97906;1,93542;1,96533;0,114136;1,6214;0,172424
327;2,50885;2,57019;2,5415;2,6123;2,59796;2,65289;2,65594;2,67395;2,64771;2,43256;2,42584;2,03094;2,02698;2,08008;2,07153;2,08252;0,149231;1,74255;0,214233
328;2,5528;2,63;2,68127;2,67365;2,72095;2,76062;2,7832;2,7594;2,79022;2,60315;2,60803;2,17377;2,17163;2,25433;2,26868;2,27905;0,168762;1,85272;0,23468
329;2,68555;2,73132;2,7301;2,75818;2,81403;2,86316;2,84851;2,87354;2,80457;2,63428;2,68585;2,30042;2,30347;2,43256;2,40265;2,44598;0,197144;1,97601;0,287476
