nm,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19
,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,-1.0,-2.0
300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
305.0,-0.3817745,-0.45898449999999996,-0.5029294999999999,-0.5261235,-0.8630374999999999,-0.5624385,-0.5654904999999999,-0.5612185,-0.5148315,-0.48614450000000003,-0.4190065,-0.23681649999999999,-0.2090455,-0.2633665,-0.1943965,-0.1922605,0.0,-0.08697550000000001,-0.1077275
306.0,-0.4699711,-0.5307011,-0.5764771,-0.6011961,-0.8587651,-0.6344601,-0.6497191,-0.6176761,-0.5810550999999999,-0.5160521,-0.4583741,-0.2597041,-0.2243041,-0.27374309999999996,-0.21606409999999998,-0.2249141,0.0,-0.1092531,-0.09368910000000001
307.0,-0.5596922000000001,-0.6250002,-0.6359862000000001,-0.6811522000000001,-0.8551022,-0.7162472000000001,-0.7147212000000001,-0.6976322,-0.6561282,-0.5761722,-0.4953002,-0.2978512,-0.2514652,-0.2890012,-0.25360119999999997,-0.25360119999999997,0.0,-0.1464842,-0.0842282
308.0,-0.6555177999999999,-0.7128907999999999,-0.7403567999999999,-0.7489018,-0.8673098,-0.7925418,-0.7946778,-0.7635498,-0.7238768,-0.6402588,-0.5346678,-0.3115848,-0.27770979999999995,-0.3152468,-0.2679448,-0.26763879999999995,0.0,-0.17272980000000002,-0.07873580000000001
309.0,-0.7397457,-0.8038327,-0.8062747,-0.7940677,-0.9362797,-0.8502197,-0.8526607,-0.8505247,-0.7824707,-0.6924437,-0.6027217,-0.3549197,-0.3146367,-0.3338627,-0.2978517,-0.3085327,0.0,-0.2084347,-0.06622310000000001
310.0,-0.8077999,-0.8847049,-0.8786009,-0.9051509,-1.0122649000000001,-0.9533689,-0.9323119,-0.9158329,-0.8901979,-0.7647709,-0.6658938999999999,-0.3979489,-0.3677369,-0.3814699,-0.3567509,-0.34179689999999996,0.0,-0.24383590000000002,-0.065918
311.0,-0.882263,-0.959778,-0.971375,-0.984799,-1.084289,-1.030579,-1.042789,-1.005859,-0.947571,-0.811768,-0.711975,-0.451355,-0.404358,-0.422363,-0.38482700000000003,-0.39917,0.0,-0.282898,-0.0631714
312.0,-0.9698484,-1.0339403999999999,-1.0730004,-1.0803204,-1.1447104,-1.1044304,-1.1047403999999998,-1.0940504,-1.0238604,-0.9030154,-0.8132934,-0.5187984,-0.4507444,-0.4690554,-0.4544064,-0.4586794,0.0,-0.3295894,-0.0564575
313.0,-1.0830708,-1.1297608,-1.1642408,-1.1593608,-1.2536608,-1.1703508,-1.1978107999999998,-1.1828608,-1.1483808,-0.9713748,-0.8782958,-0.5645747999999999,-0.5285648,-0.5279537999999999,-0.5093388,-0.5249028,0.0,-0.3784178,-0.0469971
314.0,-1.1621094,-1.2152094,-1.2567094,-1.2365694,-1.3485694,-1.3037094,-1.3192794,-1.2664794,-1.2005594,-1.0461394,-0.9759494,-0.6237794,-0.5789184,-0.6045534,-0.5905154,-0.5688474,0.0,-0.4357914,-0.0473023
315.0,-1.2435949000000002,-1.3082849,-1.3412449000000002,-1.3482649,-1.4422649,-1.4138749000000002,-1.3864149000000001,-1.3760349,-1.2973049,-1.1444049,-1.0415649,-0.7196049,-0.6674199,-0.6793209,-0.6579589,-0.6640629,0.0,-0.49560589999999993,-0.0360108
316.0,-1.3299542,-1.3992342,-1.4169341999999998,-1.4630142,-1.5158041999999998,-1.4962742,-1.4944442,-1.4834642,-1.3797042,-1.2283342,-1.1224341999999998,-0.7766722,-0.7467652,-0.7507322,-0.7369992,-0.7397462,0.0,-0.5624392,-0.0292969
317.0,-1.4328035,-1.5005534999999999,-1.5444935,-1.5362535,-1.5979035,-1.6046135,-1.5899634999999999,-1.5875234999999999,-1.5145834999999999,-1.3046235,-1.2435935,-0.8639525,-0.8285525,-0.8462525000000001,-0.8236695,-0.8325195000000001,0.0,-0.6198125000000001,-0.0326538
318.0,-1.5350324,-1.6195724,-1.6387924,-1.6549724,-1.7257723999999999,-1.7202724,-1.6943324,-1.6781624,-1.6030924,-1.4065524,-1.3171424,-0.9353634,-0.9271244,-0.9259033999999999,-0.9197993999999999,-0.9240724,0.0,-0.7098384,-0.0271606
319.0,-1.6107194,-1.7443894,-1.7327894,-1.7269894000000001,-1.8200694,-1.7935194,-1.8188494,-1.7684894,-1.7266894,-1.5301494,-1.4468394,-1.0461394,-1.0018894,-1.0281394,-1.0174594000000001,-1.0342394,0.0,-0.7797244,-0.037231499999999994
320.0,-1.7611672,-1.8127472,-1.8850672000000002,-1.8292272,-1.9027672,-1.8930072,-1.9113172,-1.8868972000000002,-1.8057272,-1.6470372,-1.5402172,-1.1407472,-1.1016872,-1.1434972,-1.0949672000000001,-1.1285372,0.0,-0.8767701999999999,-0.0292968
321.0,-1.8460037,-1.9271837,-1.9412237,-1.9393937,-2.0230137,-2.0074436999999996,-2.0037836999999996,-2.0040937,-1.9143637,-1.7636137,-1.6275037,-1.2710537,-1.2246737,-1.2368737,-1.2240637,-1.2365737,0.0,-0.9860237000000001,-0.026855399999999995
322.0,-1.9567834000000002,-2.0440633999999998,-2.0376634,-2.0645134,-2.1136434,-2.1060133999999997,-2.1319534,-2.0809933999999997,-2.0376634,-1.8350234,-1.7562834,-1.3473534,-1.3259934,-1.3732934,-1.3266034,-1.3400234,0.0,-1.0690334000000001,-0.031128000000000003
323.0,-2.0333821999999997,-2.1185321999999998,-2.1115122,-2.1350122,-2.1884121999999997,-2.1972622,-2.1865821999999997,-2.1572921999999997,-2.1340922,-1.9458022,-1.8762222,-1.4584322,-1.4489722,-1.4785722000000001,-1.4544722,-1.4602622,0.0,-1.1843822,-0.0341797
324.0,-2.1289072,-2.2064172,-2.1746872,-2.2009272,-2.2604372,-2.2872972000000003,-2.2473172000000003,-2.2897372000000003,-2.2186272000000002,-2.0248372000000003,-1.9851672,-1.5545672,-1.5566972,-1.5948472,-1.5408372,-1.5676872,0.0,-1.2518272,-0.0311279
325.0,-2.1682781,-2.2750881,-2.2759981,-2.2598281,-2.3223881,-2.3370381,-2.3879981,-2.3760981,-2.2875981,-2.1401981,-2.0913681,-1.6918981,-1.6540481,-1.7156981,-1.7010481,-1.7330981,0.0,-1.3894681,-0.045166100000000015
326.0,-2.280574,-2.354124,-2.3623640000000004,-2.376094,-2.409974,-2.422184,-2.465514,-2.440494,-2.4023440000000003,-2.250064,-2.1920740000000003,-1.766964,-1.790164,-1.864924,-1.821284,-1.851194,0.0,-1.507264,-0.05828799999999999
327.0,-2.359619,-2.4209590000000003,-2.392269,-2.463069,-2.448729,-2.5036590000000003,-2.5067090000000003,-2.524719,-2.498479,-2.283329,-2.276609,-1.8817090000000003,-1.8777490000000001,-1.9308490000000003,-1.9222990000000002,-1.9332890000000003,0.0,-1.5933190000000002,-0.065002
328.0,-2.384038,-2.461238,-2.512508,-2.504888,-2.552188,-2.5918579999999998,-2.614438,-2.5906379999999998,-2.621458,-2.4343879999999998,-2.4392679999999998,-2.005008,-2.002868,-2.085568,-2.0999179999999997,-2.1102879999999997,0.0,-1.6839579999999998,-0.065918
329.0,-2.488406,-2.534176,-2.532956,-2.5610359999999996,-2.6168859999999996,-2.666016,-2.651366,-2.676396,-2.607426,-2.4371359999999997,-2.4887059999999996,-2.1032759999999997,-2.1063259999999997,-2.235416,-2.2055059999999997,-2.248836,0.0,-1.778866,-0.090332
330.0,-2.56012,-2.61932,-2.6309199999999997,-2.59522,-2.69012,-2.7298,-2.74536,-2.81525,-2.7276599999999998,-2.5744599999999997,-2.63611,-2.2442599999999997,-2.26929,-2.38098,-2.35382,-2.36206,0.0,-1.9244399999999997,-0.084534
331.0,-2.586064,-2.658694,-2.669374,-2.669064,-2.745364,-2.770994,-2.779544,-2.819524,-2.786564,-2.6168839999999998,-2.698064,-2.351994,-2.350464,-2.463994,-2.473754,-2.456664,0.0,-2.0016439999999998,-0.069275
332.0,-2.636417,-2.718807,-2.673947,-2.695007,-2.802427,-2.825017,-2.884827,-2.896117,-2.876587,-2.696227,-2.791137,-2.456667,-2.527767,-2.597347,-2.559507,-2.620547,0.0,-2.147827,-0.072632
333.0,-2.6568590000000003,-2.763669,-2.762149,-2.733769,-2.831419,-2.919009,-2.957459,-2.920529,-2.931519,-2.785949,-2.860719,-2.551879,-2.593079,-2.7139290000000003,-2.693179,-2.741399,0.0,-2.2537190000000002,-0.06134100000000001
334.0,-2.775269,-2.8094490000000003,-2.796939,-2.8356890000000003,-2.8405790000000004,-2.945859,-2.929079,-2.991639,-2.985539,-2.827449,-2.9717990000000003,-2.642519,-2.6898190000000004,-2.8247090000000004,-2.8179890000000003,-2.849429,0.0,-2.342839,-0.06286599999999999
335.0,-2.7532927000000003,-2.8228727,-2.8115827,-2.8018227,-2.9217527000000003,-2.9675327,-2.9840127,-3.0087327000000004,-3.0233727000000004,-2.8573627000000004,-3.0218527,-2.6953127,-2.7685527000000003,-2.8909327,-2.9174827000000003,-2.9428127,0.0,-2.4194327,-0.0537107
336.0,-2.7883944,-2.8610244,-2.8860444,-2.9089343999999997,-2.9754644,-3.0371044,-3.0172744,-3.0804443999999997,-3.0929544,-2.9766844,-3.1033344,-2.8518643999999997,-2.9412844,-3.0441244,-3.0584743999999997,-3.0267344,0.0,-2.5231944,-0.043640399999999996
337.0,-2.8076159,-2.9345659,-2.8973359,-2.8594958999999998,-2.9812659,-3.0285659,-3.0532859,-3.0950959,-3.1192059,-2.9980458999999997,-3.1747459,-2.9110758999999997,-2.9635659,-3.1600959,-3.1289659,-3.1451458999999997,0.0,-2.6184059,-0.0494389
338.0,-2.8979494,-2.9476894,-2.8829994,-2.9425094,-2.9544094,-3.0429094,-3.1634493999999997,-3.1079094,-3.1503294,-3.0383294,-3.2504294,-3.0279494,-3.1362894,-3.2363893999999997,-3.2482894,-3.3074993999999998,0.0,-2.7535994,-0.04791240000000001
339.0,-2.8881835000000002,-2.9165635,-2.9214435,-2.9284635,-2.9672235000000002,-3.0566435000000003,-3.0984535,-3.1411735000000003,-3.1604035,-3.0825835,-3.3078035,-3.0270435,-3.1365935,-3.3297735,-3.2937635000000003,-3.3471635,0.0,-2.8012035,-0.0500485
340.0,-2.8677384,-2.9107684,-2.8976484,-2.9278584,-2.9946884,-3.0673184,-3.1121784,-3.1689483999999997,-3.1787083999999997,-3.1130983999999997,-3.3648683999999998,-3.1137083999999997,-3.2519484,-3.4252884,-3.4072883999999997,-3.4570284,0.0,-2.9333484,-0.053711400000000006
341.0,-2.8744505,-2.9113805,-2.8961205,-2.8787205,-2.9980504999999997,-3.0703705,-3.1094405,-3.1469705,-3.2067905,-3.1460605,-3.3783005,-3.1979405,-3.3230605,-3.4210205,-3.4558105,-3.4948704999999998,0.0,-2.9702805,-0.07690450000000001
342.0,-2.8646808,-2.9092408,-2.8778108,-2.9370108,-2.9998807999999997,-3.0654908,-3.1375108,-3.1689407999999997,-3.1671107999999997,-3.0969208,-3.3807408,-3.2376107999999997,-3.3615108,-3.5504108,-3.5778808,-3.6041308,0.0,-3.0303907999999997,-0.0729368
343.0,-2.8829908,-2.8991708,-2.8747608,-2.9214507999999997,-3.0001808,-3.0429108,-3.0993608,-3.1134008,-3.1677207999999997,-3.1430008,-3.3969107999999997,-3.2965108,-3.4042407999999997,-3.5852008,-3.5821508,-3.6099208,0.0,-3.1137108,-0.0598148
344.0,-2.8311115,-2.8250115,-2.8949015,-2.8787215,-2.9614215,-3.0566415,-3.0783115,-3.1362915,-3.1433115000000003,-3.1616215,-3.4719815,-3.2840015,-3.4445215,-3.6566115,-3.6654615,-3.7112415,0.0,-3.1344615,-0.0549315
345.0,-2.8179956,-2.8784156000000003,-2.8564456000000003,-2.8399656,-2.9672256000000004,-2.9452556000000003,-3.0456556000000004,-3.0850256000000003,-3.2019056000000004,-3.1442256000000004,-3.4710656,-3.3312956000000002,-3.4695456,-3.6819456,-3.6703456,-3.7194856,0.0,-3.1967156,-0.055236600000000004
